,country,new,all,cure,death,population,diagnosticRate,deathRate
乌克兰,乌克兰,12474.0,957692.0,569200.0,16579.0,44009214.0,2.1761170285840596,1.7311411184389134
肯尼亚,肯尼亚,552.0,93405.0,74999.0,1618.0,50950879.0,0.18332362823416648,1.7322413147047804
喀麦隆,喀麦隆,113.0,25472.0,23851.0,445.0,24678234.0,0.10321646192349096,1.7470163316582914
特立尼达和多巴哥,特立尼达和多巴哥,23.0,6940.0,6385.0,123.0,1372598.0,0.5056105283557166,1.7723342939481266
俄罗斯,俄罗斯,27787.0,2736727.0,2181696.0,48568.0,143964709.0,1.9009707441564723,1.7746746387199017
,圣卢西亚,1.0,279.0,246.0,5.0,,,1.7921146953405016
几内亚比绍,几内亚比绍,0.0,2447.0,2378.0,44.0,1907268.0,0.1282986974038258,1.7981201471189212
美国,美国,230982.0,17626770.0,10291057.0,317928.0,326766748.0,5.394297341417371,1.8036656744258874
,钻石号邮轮,0.0,712.0,699.0,13.0,,,1.8258426966292134
斯威士兰,斯威士兰,67.0,7093.0,6579.0,135.0,1391385.0,0.5097798237008448,1.9032849288030451
毛里求斯,毛里求斯,0.0,524.0,489.0,10.0,1268315.0,0.04131465763631274,1.9083969465648856
莱索托,莱索托,93.0,2400.0,1435.0,46.0,2263010.0,0.10605344209703006,1.9166666666666665
菲律宾,菲律宾,1459.0,454447.0,419902.0,8850.0,106512074.0,0.42666242702212337,1.947421811564385
文莱,文莱,0.0,152.0,148.0,3.0,434076.0,0.035016909481288994,1.9736842105263157
多哥,多哥,15.0,3330.0,2890.0,66.0,7990926.0,0.04167226676858227,1.981981981981982
赞比亚,赞比亚,76.0,18504.0,17680.0,369.0,17609178.0,0.10508156598791835,1.9941634241245134
摩尔多瓦,摩尔多瓦,3263.0,131919.0,114230.0,2674.0,4041065.0,3.264461224949364,2.0270014175365185
巴基斯坦,巴基斯坦,2972.0,451494.0,399852.0,9164.0,200813818.0,0.22483213779641398,2.029705821118332
塞内加尔,塞内加尔,115.0,17451.0,16384.0,355.0,16294270.0,0.1070989986050311,2.0342673772276663
阿尔巴尼亚,阿尔巴尼亚,787.0,51424.0,26898.0,1055.0,2934363.0,1.7524757502735688,2.051571250777847
波兰,波兰,11953.0,1171854.0,903349.0,24345.0,38104832.0,3.0753422558062975,2.077477228391933
巴拉圭,巴拉圭,819.0,97028.0,69351.0,2032.0,6896908.0,1.4068333229905343,2.094240837696335
缅甸,缅甸,2415.0,113082.0,91537.0,2377.0,53855735.0,0.20997206704169946,2.1020144673776553
巴哈马,巴哈马,11.0,7725.0,6098.0,164.0,399285.0,1.9347082910702882,2.122977346278317
毛里塔尼亚,毛里塔尼亚,176.0,11805.0,8372.0,254.0,4540068.0,0.2600181318870114,2.1516306649724695
苏里南,苏里南,27.0,5428.0,5240.0,117.0,568301.0,0.9551276524236276,2.155490051584377
伯利兹,伯利兹,119.0,9791.0,4779.0,213.0,382444.0,2.5601133760759747,2.175467265856399
伊拉克,伊拉克,1533.0,580449.0,515321.0,12650.0,39339753.0,1.4754769812611686,2.179347367296696
斯洛文尼亚,斯洛文尼亚,1654.0,102043.0,79193.0,2233.0,2081260.0,4.902943409280916,2.188293170526151
瑞典,瑞典,8881.0,357466.0,4917.0,7893.0,9982709.0,3.5808516505890333,2.20804216345051
巴巴多斯,巴巴多斯,4.0,305.0,278.0,7.0,286388.0,0.10649887565121444,2.2950819672131146
安哥拉,安哥拉,77.0,16484.0,9266.0,382.0,30774205.0,0.05356434065477889,2.3173986896384373
牙买加,牙买加,61.0,11968.0,8525.0,279.0,2898677.0,0.412878012969365,2.331216577540107
法国,法国,18278.0,2483524.0,187199.0,59733.0,65233271.0,3.8071431371270648,2.405171039216855
罗马尼亚,罗马尼亚,5697.0,577446.0,477139.0,13969.0,19580634.0,2.949066919896465,2.419100660494661
,刚果（金）,492.0,15089.0,13010.0,366.0,,,2.4256080588508184
海地,海地,30.0,9627.0,8310.0,234.0,11112945.0,0.086628701932746,2.4306637581801183
越南,越南,2.0,1407.0,1263.0,35.0,96491146.0,0.001458164876599144,2.4875621890547266
匈牙利,匈牙利,2982.0,291549.0,86954.0,7538.0,9688847.0,3.0091196609875253,2.585500207512288
巴西,巴西,69826.0,7110434.0,6301547.0,184827.0,210867954.0,3.371984156492551,2.5993771969474717
圭亚那,圭亚那,26.0,6042.0,5197.0,158.0,782225.0,0.7724120297868261,2.6150281363786823
洪都拉斯,洪都拉斯,157.0,115474.0,53499.0,3021.0,9417167.0,1.2262074146078115,2.616173337721045
,圣马力诺,67.0,2049.0,1703.0,54.0,,,2.635431918008785
津巴布韦,津巴布韦,117.0,11866.0,9836.0,314.0,16913261.0,0.07015796658018818,2.6462160795550314
索马里,索马里,83.0,4662.0,3566.0,124.0,15181925.0,0.03070756837489317,2.6598026598026596
南非,南非,9126.0,892813.0,780313.0,24011.0,57398421.0,1.5554661338157716,2.6893649622037312
西班牙,西班牙,11081.0,1805633.0,196958.0,48777.0,46397452.0,3.8916641370737337,2.7013795162139815
,马提尼克岛,5.0,37.0,0.0,1.0,,,2.7027027027027026
哥伦比亚,哥伦比亚,12196.0,1468795.0,1343819.0,39787.0,49464683.0,2.969381204767854,2.708819134052063
